game_name,spend_day,id
MADDEN 18,2017-08-27,fbe9a553cdf6170131c761f69e9d4a567cb53a8d
FIFA 17,2017-08-18,808b44d5f8bf4b02085caa004adc6d051b497971
FIFA 17,2017-02-22,c16bfc0bbf52b21f71a70f6e2302a41ebd3d39b9
FIFA 17,2017-03-17,f5ac146306d5e0d81bf4d1b959d38a33bf669b96
FIFA 17,2017-04-23,d4d7343ba0a233cdb900341b50acb1d8267028b8
FIFA 17,2017-06-24,0572e9a3d429a852fedb1f85f373417bc8f2f84e
FIFA 17,2017-03-05,a24de1ce176951c037d75410d5b9ee41fcac719e
NHL 17,2016-11-29,070ab7790d690a2eb46dafa8a2b78f1b558a9ad7
FIFA 17,2017-07-31,77e34ebf8a7f1c99a41d99536bc174e7eb1fe446
FIFA 17,2017-01-20,4cb910cf595687373e925774162480b04b5ed6ea
FIFA 17,2016-12-24,6af43a278c86d34fe0fd6d31e749532cb6e1009f
FIFA 17,2016-12-26,2d9c6cef770ad937b6390321992d8b5d0f9f2d39
FIFA 17,2016-10-09,55083b0801e7c1a5d2a501dfd62eb89d8ed80a21
FIFA 17,2017-02-12,5b88712e4b8d41b6c9af62964ac7b9f42f55dfa4
FIFA 17,2016-10-27,fbff6175127e0e54476d0c37ec2a0c8a10ec762c
FIFA 17,2017-02-25,7bbe64ada2225602748788e6db6e820dc0d97468
FIFA 17,2016-10-21,519801c28524f862c0608a4482c4efbb3df44c78
FIFA 17,2016-10-30,5b88712e4b8d41b6c9af62964ac7b9f42f55dfa4
FIFA 17,2016-11-12,b5c0991afa1e1b1af8841f44282c0605dd5c4d79
FIFA 17,2016-12-26,d3fe76925b98057dee7bafa50fdc93052a6a16c6
FIFA 17,2017-05-31,cd9592ddfccf96957405d1746a6c73fbc5fce0a2
FIFA 17,2016-12-10,40c8acbbf98a7212f61ae9ff79ac21fcdac8529c
FIFA 17,2017-04-07,cf2434af8f58c2f4bd607dca9b34b69d9a1efd2f
FIFA 17,2017-02-17,c16bfc0bbf52b21f71a70f6e2302a41ebd3d39b9
FIFA 17,2016-12-09,3fca56d5b1726361e5b717139c614d37ad4f55a6
FIFA 17,2016-10-04,53e521623a1b90ee4dad1ca2f5f7868bc16ed68f
FIFA 17,2017-01-09,d6a2ec012603805e73e9d74a241d8b732f77e83f
FIFA 17,2017-04-02,7151fd2a05aa4dd90f41be573714590bd5da1907
FIFA 17,2016-11-24,3d72611523527d0e9f0abb0d3b94f5d5f77604a1
FIFA 17,2016-10-30,3f21a77f91ac121e175085cdc11270e0f7f9fc1d
FIFA 17,2017-03-16,e0aa179a9a6a0d6a907db727035aad9fa2efe25f
FIFA 17,2016-10-27,e24f8a786c1818cc4c15be72b4a97a565a10f70b
FIFA 17,2017-05-20,e08e58310afa47a1d86c6311079bbecf269f6d3d
FIFA 17,2016-11-20,51887124b0a0e31ded954687756a3537340c8a66
FIFA 17,2017-08-26,b40894e81bbadc83bdfa4a8d62b3a56f73835f2f
FIFA 17,2017-08-30,d84fc44bd9aa4b3a676b42d70ca43af9cd8ac000
FIFA 17,2017-05-18,17d4fcafd13782a529f042dc69aa182b989cf233
FIFA 17,2016-10-11,7d92a94bde3f4f24168ae43fee19366e86ee39aa
FIFA 17,2016-09-29,66b94d21212e75f29b949a08e639eaa6431045c5
FIFA 17,2016-12-09,f843235874f874b77364aadd451e200c3725d442
FIFA 17,2017-08-03,aa4a0f2967e5307c907887d1b7a585cdf515f4b3
FIFA 17,2017-03-31,160eac9ffa4a06b6f5c3ebdb7cc88d8fd8912e70
FIFA 17,2017-01-13,f0d2de232a5c84db46e8785c6f491198e7756b75
FIFA 17,2017-05-18,d24a59b5008b4cbb0fdbe087590cad8a0ea0a10d
FIFA 17,2017-06-30,bbbbce1b941df519a7f72a4b9baf9de14aa0aae3
FIFA 17,2017-04-23,daaf2b525ceb8b74c4b1bb8f51d23b39ae03fde8
FIFA 17,2017-01-10,427100504451aca8f8131af67df07fb6c42e009f
MADDEN 17,2017-08-06,0a61d70b605b17b58b836f5839a4348b29e40cbc
FIFA 17,2017-07-03,1038478ed7e169465fa32a1cc2578dac8fc688fd
FIFA 17,2017-03-05,c16bfc0bbf52b21f71a70f6e2302a41ebd3d39b9
FIFA 17,2017-04-03,427100504451aca8f8131af67df07fb6c42e009f
FIFA 17,2017-05-26,66dc36bffa5aeb4950d9e62957a98275383d0285
FIFA 17,2017-02-20,7cc98690ddfa653aa65490eef0a6f1dc390763e1
FIFA 17,2017-05-17,d6b4f2075354d25a47836f4fb98dbbb76d71c18d
FIFA 17,2017-07-14,953f85349ce678a71ca384fe131ad233d8e88a1d
FIFA 17,2017-02-03,427100504451aca8f8131af67df07fb6c42e009f
FIFA 17,2017-01-08,739896078e0dcd0df0c37740384559674ea17def
FIFA 17,2017-06-16,b17d02aa56a608d0fcced3d94187be20a77e8087
FIFA 17,2017-03-17,87514260f51473bef3c53ac090fe8a3678ca4aa6
FIFA 17,2016-12-26,439c98beaa04ce21ee7fe3ed5e779ba17ddd9750
FIFA 17,2017-01-19,bdc90c9ce3a944f6ecb0334f9ec19bfa4753ab2f
FIFA 17,2016-12-13,6245b1f7036044e593a15941f0d52d83043db3a0
FIFA 17,2017-07-08,7cc98690ddfa653aa65490eef0a6f1dc390763e1
FIFA 17,2017-05-18,674fd8d5ceac3e3e7ff003e5e78eb098a1148e94
FIFA 17,2016-12-07,744888fbd5d8f3d83f42329349ca6ced72a895a7
FIFA 17,2016-11-16,d4ea65f069656b671a9fc3163de0ccf8700f69a8
MADDEN 18,2017-08-25,0a61d70b605b17b58b836f5839a4348b29e40cbc
FIFA 17,2016-10-08,5b88712e4b8d41b6c9af62964ac7b9f42f55dfa4
FIFA 17,2017-01-16,081685b64613cc7035530cf1d4c1b61f0ed53ecd
