game_name,id,game_genre,game_launch_date,purchase_date
PLANTS VS ZOMBIES GARDEN WARFARE 2,1ed9f317c5f931cc6f6d6beb23c929c97622514a,Shooter,2016-02-23,2016-03-19
FIFA 16,44960ac4ca7906e2b6cbfa0ebc9bb9bdfa35ff2d,Sports,2015-09-22,2016-01-19
FIFA 16,ba25eceffd5620db477f09034b3558c61f77b01a,Sports,2015-09-22,2015-11-14
FIFA 17,6a2cac777044dc4d3b1fe78e68e84fc12a4e62a3,Sports,2016-09-27,2017-08-19
BATTLEFIELD 1,758430fde9710ba37eb847d9bfedcd06492e4344,Shooter,2016-10-21,2016-12-26
FIFA 17,95470dfaf8120ed77046b8fa3c91c204c5004b87,Sports,2016-09-27,2016-12-29
NFS 2016,107a62d105982e1d14303c36cf454fa73fae8bd9,Action,2015-11-03,2017-03-09
PLANTS VS ZOMBIES GARDEN WARFARE,e86d43774956eab08b7439e591e09d7868fc5e5a,Shooter,,2016-06-05
PLANTS VS ZOMBIES GARDEN WARFARE,4d2f62b95f5b0fee1d35cb98831eaf7765228f06,Shooter,,2017-01-23
FIFA 16,f2cfcd58c827c553d9f95545e3e5456cca9662fc,Sports,2015-09-22,2017-05-22
PLANTS VS ZOMBIES GARDEN WARFARE,6ab5de196909f87d5b43c2c84bd7184b387a78af,Shooter,,2016-10-05
EA ACCESS,4b32777c50fd72638b31f6fd8df539a6143a7f73,Other Games/Compilations,,2016-12-23
FIFA 16,f2b733534ab1ed890445524f8b7366a32354c593,Sports,2015-09-22,2015-12-08
UFC 2,dd1d18194a8214c86f3eec1cf0337da66fbb3070,Fighting,2016-03-09,2017-06-11
FIFA 17,8a004c584b70c8a66967be5a455b8a462065708c,Sports,2016-09-27,2017-02-04
FIFA 16,c0d9b7fe05d9b123dc347fa0b49bbbdd163d45eb,Sports,2015-09-22,2015-10-02
FIFA 17,a39144b54ed229ef607125c9bd46609640c5adcd,Sports,2016-09-27,2017-01-14
MADDEN 16,f76358699e1434de3779d09add6ec3a6f99fc69d,Sports,,2015-12-04
BATTLEFRONT,ce7783a02b3f5ef1597b7cfd039f3f51aace15b9,Shooter,2015-11-17,2015-12-09
FIFA 17,7123a74759ff4cbeb75ee99dfe1f7713c12e885f,Sports,2016-09-27,2017-01-12
NFS 2016,7d724d89c3ea8e63dbe3d3bceb64def93e379b77,Action,2015-11-03,2015-12-29
FIFA 16,a5d2d7ceeff784da012d55594f18600bb4f5346d,Sports,2015-09-22,2015-12-01
BATTLEFRONT,370fc2ce8886ea936a4392ef0b6e3664dfb5307d,Shooter,2015-11-17,2015-11-19
FIFA 16,a9b3238d2f40bb753ff50c49999a47268bb8666a,Sports,2015-09-22,2017-01-07
NFS 2016,29035705709d4cff0a8f38bcc58ee3d5850d3920,Action,2015-11-03,2015-12-25
FIFA 16,293b0e6b687a103f371aa40074d41c2e182aa15b,Sports,2015-09-22,2016-08-18
FIFA 17,a7edddec96ad14b772820d3f85fa4178956f2f14,Sports,2016-09-27,2017-05-21
UFC,c0c085acc6e2c5a333549f413bf0084654d839eb,Fighting,,2016-02-10
UFC 2,9c9ba53e93cea26c44a903e75b4c22e0e0a4ad97,Fighting,2016-03-09,2017-07-30
FIFA 16,b2c1e0dd535b6b3e163174eeeaf58ba58a7e8655,Sports,2015-09-22,2015-09-27
BATTLEFRONT,75676d787abcd55f41c82cc5938b8f77f1f42c51,Shooter,2015-11-17,2016-04-25
BATTLEFIELD 1,78d22fa10c78d89a4ca31e184441b9749e510ae1,Shooter,2016-10-21,2016-11-06
BATTLEFIELD 4,3d6823c621b77e14ad8ea891ee06b6b6df53d97a,Shooter,2013-10-29,2016-06-19
FIFA 17,0df0ff4ee14316b1144afb89fc4e0cac023d4f58,Sports,2016-09-27,2017-02-06
NFS 2016,432fed8a06655e9d2c19db5cd9d3e7e96aa85e50,Action,2015-11-03,2015-11-12
FIFA 16,8bd52619291536613df2f39fd53bcdac82153df8,Sports,2015-09-22,2015-11-20
MADDEN 17,d96e8038328374f3a1edac5486f656fb8a4ebbf7,Sports,2016-08-23,2016-11-24
