purchase_date,id
2017-10-03,86b4ae7a794d4c196435cd0a63e83303cd3e6f34
2017-09-29,3fd1574f04d7a380eaf913c9d86cb755d005d84c
2017-11-25,c11e2a8ff857babd62628fcecc66340e9d828967
,5f639924f04f27d3a49f290fcc5608fda1c58750
,d1f943556959c23e9ad0eac81d6135c157de59ea
2018-03-01,49023b8b764b9ecd0384c9d6bbc5c81e4bce7704
2018-02-28,87b520c11ffceb799d0ac49a6867fc6fe3d071b2
2018-06-03,c6a8d9b15ba63fdc31d4cfc44f4e348698f4d0fd
,4a273dbc4840a8a20d8288cdeee23d043bfda43f
,2a92d3e4c5e9628d285229cc64ad0837b651eab0
2018-07-01,4a8edee03730594bf64bf73c66f4cbfb1ee9983c
2017-12-16,11464ae992d391dbdf586e5f12de491d00b69833
,e8e41eacb208327212df72b1732c61cb35285d77
,f2983ba2ecaf62cf54a7e7278b004fdf6fe1b01f
2017-09-29,1181fb49eeacc1d3275c4e9d136d2ea23f62ed98
2017-11-07,61b6d06ceb2db69b698529621fe42c4e6e72999b
,cc838674b3f1ffbe2184cc9bbac655779169e4bc
,49441ddd8d7eb33a35ca7d46efb2a3cfedc7af46
2017-09-20,84d41b2a883ee53777b1d0b3cebaa93ace414285
2017-10-15,bf2cfdbe2e89d98eeab00f3e20e6c79a909990c5
,d450d694dd6214b1c8b3218cecb8b690f49a3c8a
,750244c20efcaa80755a9bbacb57bb01948bc8dd
2017-09-29,6a34e6fac0b5765f47eef319ed74a51f4f0cea22
2017-11-02,7432d4f3442bf42770fe2f5bc2ae290dd87382fb
,8f5b7747d93d5f16f8aea2054068cb3732daed1e
,393a9bc087c9f709569db7cd1439e705160ee34d
2017-12-28,a1e2a442e8346d58961dd3d371364d1576bb82c2
2017-10-03,dea41c725bef5288c3630bae330066ddba72a125
,244d71bc3fc1e6e3be9683a055ef127d16351f8c
,80e3bfe860a3416e5be169432da945c801ef89d0
2017-12-05,06dc5258965a0f1d2f83f0fc8892b07c611758b2
2017-10-05,0b2dab17be1ee57255e2a52918d2d78ed8b95b19
,05c39588739dd99bc03b43b6440edaa7460b486b
,91c5f5f33b519de014451ebb58106431b177b049
2017-09-28,f2a6a0c4e97f148e90649e3b6dc60771d94ef3aa
2017-12-19,4d271117d5cf4112e34344d23358f01128f0b382
,8037e27d58af91422d9e3ccbc10108139acd7d17
,c92a94cf8d44695a21cfae01bbea664b6299005e
2017-10-12,d86038e49f4422ed11698314c076a5d1073a6a7e
2017-12-29,8d6b577d369a89fbbd154b97118cca3077aea26d
,5937247bd69ff84391f2266bdc93f86376cda686
,4f49a97278cac67205b01cf246560889ef83a2f6
2017-10-06,93e9aea2ee1d760766bc0a49e82834ce365b1ed9
2018-06-05,5415139f4deeb12cb75ee0f65a4596d8cdd33bac
,bfc6556701722360269cc27b66cb7d9a0ab9df7d
,67b4e2b6c37dfbb9d5dcd1b6059823fd73420246
,ed291339e06ec58285d43652126250524bc7a524
2017-12-09,13b0983fda0cd0964fb288d15fafa5528b7acb7f
2017-10-07,591b84ec553bd20c08ce3a9ae20c9222107a76ab
,ded3aa9366dbf733a5741c1027af3acc7ad4d12f
,6d0a1993997709fc6f691a3b5762bb4d7dcaead3
,d532fc40e8d8ef2352b2b7f81a8dcb67e519d8da
2017-09-30,fcae93aad1b515b60f0de7c03cf35fb8a1e31aba
